id,name,address,phone,latitude,longitude,capacity,description,services,url
154,Foyer-Logement Club pour personnes âgées (PARIS),9 rue Lamblardie  PARIS  75012 PARIS,n/a,,,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure4404-establishment9782
155,Centre de Jour Adamant - Pôle Paris Centre (PARIS 12EME ARRONDISSEMENT),Quai de la Rapée  75012 PARIS 12EME ARRONDISSEMENT,01 53 46 75 00,48.842983,2.371735,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2592-establishment11794
156,SSIAD du Centre d'action sociale de la ville de Paris (PARIS 12EME ARRONDISSEMENT),5 boulevard Diderot (siège)  75012 PARIS 12EME ARRONDISSEMENT,n/a,48.845428,2.369564,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure5583-establishment11577
157,CATTP La Petite Maison - Pôle 94i03/04 (Villeneuve-le-Roi),65 avenue de la République  94290 Villeneuve-le-Roi,01 45 97 73 18,48.731544,2.413615,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2592-establishment11823
158,Centre médico-psycho-pédagogique - CMPP Delépine - UGECAM Ile-de-France (PARIS),16  impasse Delépine  75011 PARIS,01 55 25 16 00,48.853443,2.390712,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2984-establishment7572
159,CMP - CATTP 2/12 ans Jacques Prévert - Pôle 94i03/04 (Alfortville),52  rue Jules Guesde  94140 Alfortville,01 45 18 78 60,48.80542,2.418245,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2592-establishment11818
160,Centre médico-psychologique 94G05 (Joinville-le-Pont),18 rue Joyeuse  94340 Joinville-le-Pont,01 48 89 63 00,48.82,2.47,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2592-establishment9550
161,Siège de l'AP-HP (Paris),3 avenue Victoria  75184 Paris,n/a,48.856579,2.35183,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2040-establishment11556
162,C.M.P. - U.D.S.M / CATTP.Entr'Autres - Pôle 94i02 - CCASA (Saint-Maur),42 avenue Victor Hugo  94100 Saint-Maur,01 48 86 03 88,46.805515,1.638485,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2592-establishment11813
163,Foyer de vie Saint Joseph (Paris),9 rue Georgette Agutte  75018 Paris,01 46 27 05 72,48.8951,2.332719,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure3235-establishment7279
164,Centre médico-psychologique 94G02 (Le Perreux-sur-Marne),2 rue Louis Gourlet  94170 Le Perreux-sur-Marne,01 43 24 22 71,48.846783,2.507409,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2592-establishment9543
165,Direction générale (PARIS 14EME ARRONDISSEMENT),8  Rue E. Deutsch-de-la-Meurthe  75014 PARIS 14EME ARRONDISSEMENT,01 45 89 43 39,,,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure3237-establishment11036
166,AP-HP Groupe hospitalier Broca - La Collégiale (Paris),54-56  rue Pascal  75013 Paris,01 44 08 30 00,48.836117,2.348643,,,Consultations et Hôpital de Jour Gérontologie 2  Consultations gérontologie 1  Equipe mobile d'intervention gériatrique  Médecine gériatrique 1 - Hospitalisation  Médecine gériatrique 2 - Hospitalisation  Pharmacie clinique  Radiologie  Rééducation  RH PM HUPC - AIDE A L'INVESTIGATION AP-HP  RH PM HUPC - AIDE AU MONTAGE ET A LA PROMOTION  Soins de longue durée - Gérontologie 1 - Broca  Soins de longue durée - Gérontologie 2 - Broca - La Collégiale  Soins de suite et réadaptation - Gérontologie 1 - Broca  Soins de suite et réadaptation - Gérontologie 2 - Broca  Soins palliatifs,https://etablissements.fhf.fr/annuaire/establishment/structure2035-establishment5773
